431243,04428,2320057,可量化创新,邹强,2,32/2
431244,04429,2060091,中国历代造型艺术欣赏,孙锐,2,32/2
431248,04433,2111367,语言、心理与脑,白晨,2,32/2
431249,04434,2111377,文字考古：汉字的发展历程,朱生玉,2,32/2
431251,04436,2111361,中国传统文化撷英（翻转）,王祎,2,32/2
431252,04437,2111204,中国现代新诗艺术,张志云,2,32/2
431264,04449,2340152,讲好一个故事,"刘艳丽,李晋馥",1,16/2
431267,04452,2340167,单片机工程应用基础,刘高华,2,48/3
431871,04952,2390001,见微知著：物质科学初探,罗浪里,2,32/2
431874,04955,2400008,创业管理（翻转）,郭峰,2,32/2
431876,04957,2400041,X-lab创新创业认知与行动提升计划,张琳,2,32/2
431877,04958,2400040,社会创业与可持续发展(翻转）,张琳,2,32/2
431881,04962,2440059,云计算,杨柳,2,32/2
431882,04963,2440056,设计思维,赵天娇,1,16/2
431883,04964,2440055,创意摄影技术与艺术,赵晶,2,32/2
431884,04965,2440132,数字媒体设计的创意表现,赵晶,1,16/2
431911,04992,4010001,相声艺术赏析,张建斌,2,32/2
431914,04995,4010017,乒乓球竞赛理论与实践,杨博文,1,16/1
431916,04997,4010014,运动与健康,陈田希,1,16/1
431918,04999,4010020,竞技游泳素养与技能提升,高源,2,32/2
431920,05001,2410019,网络信息检索1,王璐,2,32/2
431921,05002,2410020,知识产权与专利情报,王玲,2,32/2
431923,05004,4020001,国学素养,赵佳,1,16/2
431925,05006,4020003,中西绘画比较,孙锐,2,32/2
431933,05014,5100083,心理拓展训练的理论与实践,许欣,2,32/2
431934,05015,5100085,幸福学,李霞,2,32/2
431936,05017,5100085,幸福学,"杨丽,王凤鸣",2,32/2
431939,05020,5100039,成功心理学,詹启生,2,32/2
431942,05023,5100042,普通心理学,黄亚元,2,32/2
431944,05025,2210021,人类文明史漫谈（翻转）,张凯峰,2,31/2
431954,05031,2210111,兴学之路——乡村振兴中的青春实践,吴兆彤,2,48/3
